iteracao,acc_prequencial
134,0.9776119402985073
267,0.9700374531835205
400,0.975
533,0.973733583489681
666,0.9759759759759759
799,0.9762202753441808
932,0.9763948497854082
1065,0.9671361502347421
1198,0.9607679465776291
1331,0.9601803155522162
1464,0.961748633879782
1597,0.9624295554164065
1730,0.9624277456647413
1863,0.9608158883521212
1996,0.9624248496993996
2129,0.9544387036167223
2262,0.9522546419098148
2395,0.9511482254697294
2528,0.9529272151898747
2661,0.9530251785043227
2794,0.954187544738727
2927,0.9549026306798778
3060,0.9506535947712422
3193,0.947071719386158
3326,0.9461815995189424
3459,0.9462272333044242
3592,0.9471046770601349
3725,0.9476510067114101
3858,0.9484188698807681
3991,0.9491355549987478
