iteracao,acc_prequencial
334,0.8982035928143715
667,0.8935532233883067
1000,0.899
1333,0.7846961740435103
1666,0.7887154861944772
1999,0.796898449224611
2332,0.7920240137221249
2665,0.8063789868667894
2998,0.8172114743162089
3331,0.8090663464425072
3664,0.818504366812225
3997,0.824118088566423
4330,0.7854503464203221
4663,0.7870469654728702
4996,0.7896317053642904
5329,0.7858885344342268
5662,0.7926527728717756
5995,0.7988323603002486
6328,0.8008849557522113
6661,0.8048341089926441
6994,0.8091221046611385
7327,0.8082434830080538
7660,0.8120104438642317
7993,0.8142124358813979
8326,0.7900552486187866
8659,0.785194595218849
8992,0.7855871886121015
9325,0.7810187667560343
9658,0.7844274176848226
9991,0.786908217395658
