iteracao,acc_prequencial
334,0.8922155688622755
667,0.8890554722638688
1000,0.8910000000000003
1333,0.8739684921230304
1666,0.8697478991596631
1999,0.868434217108553
2332,0.8606346483704967
2665,0.866791744840526
2998,0.8705803869246179
3331,0.8715100570399295
3664,0.8736353711790414
3997,0.8744058043532673
4330,0.8727482678983867
4663,0.8743298305811744
4996,0.8726981585268243
5329,0.8693938825295595
5662,0.8716001412928325
5995,0.8732276897414538
6328,0.871049304677625
6661,0.8714907671520806
6994,0.8720331712896782
7327,0.8726627541968068
7660,0.8734986945169709
7993,0.8732641060928312
8326,0.8708863800144131
8659,0.8689225083727923
8992,0.8699955516014242
9325,0.8679892761394106
9658,0.8679850900807623
9991,0.8686818136322696
