iteracao,acc_prequencial
16329,0.999755037050646
32657,0.9998775147747814
48985,0.9998775135245445
65313,0.9998928237869954
81641,0.9995467963400756
97969,0.9996223295123979
114297,0.9996762819671567
130625,0.9995942583732045
146953,0.9996393404694051
163281,0.9995100470967183
179609,0.9995545880217527
195937,0.9995355650030355
212265,0.999571290603722
228593,0.999566915872308
244921,0.9995957880296029
261249,0.9996210511810508
277577,0.9994560068017144
293905,0.9994862285432342
310233,0.999513269059065
326561,0.9995345433165671
342889,0.9995537914602167
359217,0.9995685059448857
375545,0.9995872665060267
391873,0.9996044636910618
408201,0.9995173946168827
424529,0.9994629342165238
440857,0.9994828254967265
457185,0.9995012959743038
473513,0.9995184926285247
489841,0.999534542841482
