iteracao,acc_prequencial
67,0.9552238805970148
133,0.9548872180451128
199,0.9547738693467334
265,0.943396226415094
331,0.9516616314199399
397,0.9571788413098239
463,0.9632829373650112
529,0.9659735349716447
595,0.9697478991596638
661,0.9712556732223905
727,0.972489683631362
793,0.9722572509457762
859,0.973224679860303
925,0.9729729729729734
991,0.9727547931382446
1057,0.9631031220435196
1123,0.963490650044524
1189,0.9638351555929361
1255,0.9641434262948217
1321,0.9659348978046943
1387,0.967555875991349
1453,0.9683413626978672
1519,0.9684002633311394
1585,0.9690851735015779
1651,0.9685039370078747
1717,0.9691322073383817
1783,0.9691531127313523
1849,0.9691725256895626
1915,0.9691906005221935
1981,0.9692074709742559
