iteracao,acc_prequencial
334,0.8982035928143715
667,0.8935532233883067
1000,0.899
1333,0.7104276069017256
1666,0.6116446578631446
1999,0.6043021510755372
2332,0.5840480274442534
2665,0.6112570356472791
2998,0.6380920613742486
3331,0.5926148303812656
3664,0.5638646288209593
3997,0.57142857142857
4330,0.5614318706697434
4663,0.5846021874329811
4996,0.6040832666132896
5329,0.596734847063238
5662,0.5997880607559154
5995,0.604336947456212
6328,0.5918141592920345
6661,0.5826452484611906
6994,0.585358879039175
7327,0.5773167735771786
7660,0.5791122715404682
7993,0.5803828349806067
8326,0.573264472736007
8659,0.5675020210185928
8992,0.5675044483985762
9325,0.5637533512064339
9658,0.5647131911368795
9991,0.5656090481433268
