iteracao,acc_prequencial
334,0.8622754491017968
667,0.8935532233883063
1000,0.9029999999999998
1333,0.8844711177794443
1666,0.8913565426170468
1999,0.8984492246123066
2332,0.891080617495712
2665,0.8908067542213884
2998,0.895263509006004
3331,0.8898228760132094
3664,0.8951965065502187
3997,0.8996747560670506
4330,0.8912240184757508
4663,0.8955607977696766
4996,0.897117694155325
5329,0.8943516607243388
5662,0.894736842105264
5995,0.8975813177648052
6328,0.8931731984829336
6661,0.8949106740729622
6994,0.8963397197597947
7327,0.8929984987034265
7660,0.8945169712793746
7993,0.8970349055423501
8326,0.893586355993275
8659,0.8940986257073567
8992,0.894795373665481
9325,0.8921179624664889
9658,0.8925243321598685
9991,0.8934040636572914
