iteracao,acc_prequencial
1511,0.8901389808074128
3021,0.8493876199933788
4531,0.8565438093136157
6041,0.8381062737957269
7551,0.8332671169381509
9061,0.8419600485597605
10571,0.8433450004729922
12081,0.8434732224153636
13591,0.8447502023397842
15101,0.8476259850341048
16611,0.8396845463849272
18121,0.8417857734120641
19631,0.8408129998471829
21141,0.8395061728395083
22651,0.8379762482892604
24161,0.8332850461487552
25671,0.8272759144560056
27181,0.8260917552702295
28691,0.8224530340524956
30201,0.8164299195390925
31711,0.8132193875942137
33221,0.8089461485205189
34731,0.8049581065906573
36241,0.8033718716370984
37751,0.8006940213504262
39261,0.7965665673314488
40771,0.7995388879350516
42281,0.8024881152290633
43791,0.8030417209015576
45301,0.8029403324429953
