iteracao,acc_prequencial
311,0.9710610932475882
621,0.9790660225442831
931,0.8818474758324377
1241,0.8162771958098306
1551,0.7736943907156669
1861,0.7737775389575493
2171,0.7798249654537079
2481,0.79161628375655
2791,0.8090290218559661
3101,0.8239277652370203
3411,0.8317209029610091
3721,0.8363343187315243
4031,0.8437112379062268
4341,0.850956000921447
4651,0.8555149430230066
4961,0.859705704495063
5271,0.8662492885600477
5581,0.8693782476258751
5891,0.8723476489560362
6201,0.8717948717948723
6511,0.8751343879588391
6821,0.8768509016273275
7131,0.8802412003926522
7441,0.8830802311517265
7751,0.887240356083086
8061,0.8912045651904226
8371,0.8946362441763226
8681,0.8983988019813377
8991,0.9017906795684563
9301,0.9022685732716904
