iteracao,acc_prequencial,acuracia
798,0.9724310776942362,97.24310776942356
799,0.9724655819774725,97.24655819774718
800,0.9725000000000006,97.25
801,0.9725343320848945,97.25343320848938
802,0.9725685785536166,97.2568578553616
803,0.972602739726028,97.26027397260275
804,0.9726368159203985,97.2636815920398
805,0.9726708074534166,97.26708074534162
806,0.9727047146401989,97.27047146401985
807,0.9727385377943003,97.27385377942998
808,0.9727722772277232,97.27722772277228
809,0.9728059332509275,97.28059332509271
810,0.9728395061728399,97.28395061728395
811,0.9728729963008635,97.28729963008631
812,0.9729064039408871,97.29064039408867
813,0.9729397293972943,97.2939729397294
814,0.9729729729729734,97.29729729729729
815,0.9730061349693255,97.30061349693251
816,0.9730392156862749,97.30392156862744
817,0.9730722154222771,97.30722154222767
818,0.9731051344743281,97.31051344743277
819,0.9731379731379737,97.31379731379731
820,0.9731707317073176,97.3170731707317
821,0.973203410475031,97.32034104750305
822,0.9732360097323607,97.32360097323601
823,0.9732685297691379,97.32685297691373
824,0.973300970873787,97.33009708737865
825,0.9733333333333339,97.33333333333333
826,0.9733656174334147,97.3365617433414
827,0.9733978234582835,97.3397823458283
828,0.9734299516908218,97.34299516908213
829,0.9722557297949342,97.22557297949336
830,0.9722891566265066,97.2289156626506
831,0.9723225030084242,97.23225030084235
832,0.9723557692307698,97.23557692307692
833,0.9723889555822335,97.23889555822329
834,0.9724220623501205,97.24220623501199
835,0.9724550898203599,97.24550898203593
836,0.9724880382775125,97.2488038277512
837,0.9725209080047795,97.2520908004779
838,0.9725536992840101,97.25536992840095
839,0.9725864123957098,97.25864123957092
840,0.9726190476190482,97.26190476190476
841,0.9726516052318673,97.26516052318668
842,0.9726840855106893,97.26840855106889
843,0.972716488730724,97.27164887307237
844,0.9727488151658772,97.27488151658768
845,0.9727810650887578,97.27810650887574
846,0.972813238770686,97.28132387706856
847,0.9728453364817006,97.28453364817001
848,0.9728773584905664,97.2877358490566
849,0.9729093050647825,97.2909305064782
850,0.9729411764705886,97.29411764705883
851,0.9729729729729734,97.29729729729729
852,0.9730046948356811,97.30046948356808
853,0.9730363423212196,97.30363423212192
854,0.9730679156908669,97.30679156908666
855,0.9730994152046788,97.30994152046783
856,0.9731308411214957,97.31308411214954
857,0.9731621936989502,97.31621936989498
858,0.9731934731934736,97.31934731934732
859,0.973224679860303,97.32246798603026
860,0.9732558139534887,97.32558139534883
861,0.9732868757259004,97.32868757259001
862,0.9733178654292347,97.33178654292344
863,0.9733487833140212,97.33487833140208
864,0.97337962962963,97.33796296296296
865,0.9734104046242779,97.34104046242774
866,0.9734411085450351,97.34411085450347
867,0.973471741637832,97.34717416378317
868,0.9735023041474659,97.35023041474655
869,0.9723820483314158,97.23820483314154
870,0.9724137931034487,97.24137931034483
871,0.9724454649827788,97.24454649827784
872,0.9724770642201839,97.24770642201835
873,0.9725085910652925,97.2508591065292
874,0.9725400457665908,97.25400457665904
875,0.972571428571429,97.25714285714285
876,0.9726027397260278,97.26027397260275
877,0.972633979475485,97.26339794754846
878,0.9726651480637817,97.26651480637813
879,0.9726962457337888,97.26962457337883
880,0.9727272727272731,97.27272727272727
881,0.9727582292849039,97.27582292849036
882,0.9727891156462588,97.27891156462584
883,0.9728199320498304,97.28199320498301
884,0.972850678733032,97.28506787330316
885,0.9728813559322037,97.28813559322033
886,0.9729119638826188,97.29119638826185
887,0.9729425028184896,97.29425028184893
888,0.9729729729729732,97.29729729729729
889,0.973003374578178,97.30033745781778
890,0.9730337078651687,97.30337078651685
891,0.9730639730639733,97.3063973063973
892,0.9730941704035877,97.30941704035874
893,0.9731243001119824,97.3124300111982
894,0.9731543624161076,97.31543624161074
895,0.9731843575418997,97.31843575418995
896,0.9732142857142859,97.32142857142857
897,0.9721293199554071,97.21293199554069
898,0.9721603563474389,97.21603563474387
899,0.9721913236929923,97.21913236929922
900,0.9722222222222223,97.22222222222223
901,0.972253052164262,97.2253052164262
902,0.9722838137472285,97.22838137472284
903,0.9723145071982282,97.23145071982282
904,0.9723451327433629,97.23451327433628
905,0.9723756906077349,97.23756906077348
906,0.9724061810154526,97.24061810154525
907,0.9724366041896363,97.24366041896361
908,0.9724669603524231,97.2466960352423
909,0.9724972497249726,97.24972497249725
910,0.9725274725274726,97.25274725274726
911,0.9725576289791439,97.25576289791438
912,0.9725877192982457,97.25877192982456
913,0.9726177437020812,97.2617743702081
914,0.9726477024070024,97.26477024070022
915,0.9726775956284155,97.26775956284153
916,0.9727074235807862,97.2707423580786
917,0.9727371864776447,97.27371864776445
918,0.9727668845315907,97.27668845315904
919,0.9727965179542984,97.27965179542981
920,0.9728260869565221,97.28260869565217
921,0.9728555917481002,97.28555917480999
922,0.9728850325379613,97.2885032537961
923,0.9729144095341282,97.29144095341279
924,0.9729437229437233,97.2943722943723
925,0.9729729729729734,97.29729729729729
926,0.9730021598272142,97.30021598272138
927,0.9730312837108958,97.30312837108954
928,0.9730603448275866,97.30603448275862
929,0.9730893433799789,97.30893433799784
930,0.9731182795698928,97.31182795698925
931,0.9731471535982817,97.31471535982814
932,0.9731759656652363,97.3175965665236
933,0.9732047159699896,97.32047159699893
934,0.9732334047109211,97.32334047109208
935,0.9732620320855618,97.32620320855615
936,0.9732905982905986,97.32905982905983
937,0.9733191035218787,97.33191035218783
938,0.973347547974414,97.33475479744136
939,0.9733759318423859,97.33759318423856
940,0.9734042553191493,97.34042553191489
