iteracao,acc_prequencial
334,0.8622754491017968
667,0.8935532233883063
1000,0.9029999999999998
1333,0.6999249812453109
1666,0.5864345738295315
1999,0.5302651325662829
2332,0.5613207547169807
2665,0.6007504690431514
2998,0.6344229486324202
3331,0.5803062143500429
3664,0.5387554585152813
3997,0.5201401050788073
4330,0.5297921478060028
4663,0.5483594252627034
4996,0.5694555644515579
5329,0.5398761493713611
5662,0.5155422112327775
5995,0.5092577147623002
6328,0.5134323640960791
6661,0.5302507131061394
6994,0.5478981984558187
7327,0.5401938037395927
7660,0.5412532637075712
7993,0.5474790441636426
8326,0.5421570982464576
8659,0.5481002425222324
8992,0.5616103202846984
9325,0.5483109919571061
9658,0.5401739490577769
9991,0.5454909418476642
