iteracao,acc_prequencial
67,0.9552238805970148
133,0.9548872180451128
199,0.9547738693467334
265,0.943396226415094
331,0.9516616314199399
397,0.9571788413098239
463,0.9632829373650112
529,0.9659735349716447
595,0.9697478991596638
661,0.9712556732223905
727,0.972489683631362
793,0.9722572509457762
859,0.973224679860303
925,0.9729729729729734
991,0.9727547931382446
1057,0.9508041627246929
1123,0.9492430988423874
1189,0.950378469301935
1255,0.9521912350597618
1321,0.9538228614685853
1387,0.9560201874549396
1453,0.9573296627666905
1519,0.9572086899275852
1585,0.9583596214511049
1651,0.9582071471835258
1717,0.9592312172393719
1783,0.9596186203028615
1849,0.959978366684695
1915,0.9603133159268937
1981,0.9606259464916715
