iteracao,acc_prequencial
334,0.8622754491017968
667,0.8935532233883063
1000,0.9029999999999998
1333,0.8799699924981225
1666,0.887755102040815
1999,0.8954477238619306
2332,0.8722126929674098
2665,0.8787992495309569
2998,0.8855903935957316
3331,0.8745121585109585
3664,0.8815502183406126
3997,0.886915186389794
4330,0.8789838337182468
4663,0.8839802702123114
4996,0.8867093674939978
5329,0.8829048601989135
5662,0.8859060402684588
5995,0.8890742285237726
6328,0.8846396965866022
6661,0.8875544212580713
6994,0.8897626537031762
7327,0.8838542377507864
7660,0.8857702349869455
7993,0.8884023520580513
8326,0.8849387460965649
8659,0.8862455248874006
8992,0.8875667259786487
9325,0.884932975871314
9658,0.8854835369641741
9991,0.8863977579821832
