iteracao,acc_prequencial
1511,0.8729318332230314
3021,0.863621317444554
4531,0.8730964467005069
6041,0.8677371296143007
7551,0.862534763607467
9061,0.8638119412868309
10571,0.8684135843344984
12081,0.8620975084843955
13591,0.862703259509969
15101,0.8643136216144631
16611,0.8634037685870801
18121,0.8620937034379987
19631,0.8619020936274243
21141,0.8590889740315008
22651,0.8567833649728475
24161,0.8553453913331392
25671,0.8537259943126496
27181,0.8541628343328078
28691,0.8531943815133686
30201,0.8514287606370685
31711,0.8496736148339709
33221,0.8481984287047359
34731,0.8471682358699715
36241,0.8478518804668727
37751,0.8477656221027212
39261,0.8463105881154291
40771,0.8456255671923654
42281,0.8480168397152383
43791,0.8464296316594728
45301,0.8463610074832784
