iteracao,acc_prequencial
16329,0.999755037050646
32657,0.9998775147747814
48985,0.9998775135245445
65313,0.9998928237869954
81641,0.999669283815728
97969,0.9997244026171462
114297,0.9997637733273795
130625,0.9997550239234412
146953,0.9997822433022809
163281,0.9996754062015805
179609,0.9997049145644195
195937,0.9995712907720354
212265,0.9995336018655908
228593,0.9992606947719301
244921,0.999273235043136
261249,0.9993186576790797
277577,0.9989912708906095
293905,0.9990132866062296
310233,0.9989781873624162
326561,0.9990262156228176
342889,0.9990725861722138
359217,0.9991147412288481
375545,0.9991505678414142
391873,0.9991859607577052
408201,0.9990029421780022
424529,0.9987609798152915
440857,0.9988046010384402
457185,0.9988472937651193
473513,0.9988870421720346
489841,0.9989241406905661
