iteracao,acc_prequencial
1511,0.8702845797485101
3021,0.8699106256206554
4531,0.8757448686824114
6041,0.8715444462837286
7551,0.8654482849953645
9061,0.8708751793400271
10571,0.8687919780531634
12081,0.8657395910934527
13591,0.8659406960488579
15101,0.8664326865770496
16611,0.8625007525133951
18121,0.8634733182495457
19631,0.8626661912281622
21141,0.8601769074310615
22651,0.8592115138404511
24161,0.8529034394271787
25671,0.8478438705153701
27181,0.847393399801334
28691,0.8457704506639745
30201,0.8444091255256485
31711,0.8399608968496788
33221,0.8373619096354755
34731,0.8331749733667365
36241,0.8333103391186812
37751,0.8326931736907671
39261,0.8316904816484585
40771,0.8323563317063655
42281,0.8347248172938257
43791,0.8345550455573134
45301,0.8333590869958796
