iteracao,acc_prequencial
134,0.9776119402985073
267,0.9700374531835205
400,0.975
533,0.973733583489681
666,0.9759759759759759
799,0.9762202753441808
932,0.9763948497854082
1065,0.954929577464789
1198,0.954090150250418
1331,0.9549211119459059
1464,0.9569672131147549
1597,0.9580463368816534
1730,0.9589595375722546
1863,0.9575952764358565
1996,0.9594188376753501
2129,0.9469234382339127
2262,0.9478337754199821
2395,0.9490605427974943
2528,0.9509493670886073
2661,0.9515219842164597
2794,0.9527559055118109
2927,0.9535360437307817
3060,0.9480392156862734
3193,0.9461321641089876
3326,0.943174984966926
3459,0.9430471234460819
3592,0.9437639198218254
3725,0.9444295302013417
3858,0.9453084499740787
3991,0.9461287897769974
