classificador,base,acc
Simples,SINE1,0.5613207547169807
Simples,ELEC,0.8433450004729922
Simples,SPAM,0.7798249654537079
Simples,KDD,0.9997637733273795
DDM,LINE,0.9632829373650112
DDM,CIRCLE,0.9763948497854082
DDM,GAUSS,0.7920240137221249
DDM,SINE1,0.891080617495712
DDM,ELEC,0.8700217576388269
DDM,SPAM,0.893597420543527
DDM,KDD,0.9996762819671567
EDDM,LINE,0.9632829373650112
EDDM,CIRCLE,0.9763948497854082
EDDM,GAUSS,0.8606346483704967
EDDM,SINE1,0.8790737564322474
EDDM,ELEC,0.8684135843344984
EDDM,SPAM,0.8760939659143245
EDDM,KDD,0.9997637733273795
ADWIN,LINE,0.9632829373650112
ADWIN,CIRCLE,0.9763948497854082
ADWIN,GAUSS,0.6668096054888497
ADWIN,SINE1,0.6676672384219551
ADWIN,ELEC,0.44858575347649254
ADWIN,SPAM,0.8125287885766925
ADWIN,KDD,0.9578641609141083
Simples,LINE,0.9659735349716447
Simples,CIRCLE,0.9577464788732396
Simples,GAUSS,0.6112570356472791
Simples,SINE1,0.6007504690431514
Simples,ELEC,0.8434732224153636
Simples,SPAM,0.79161628375655
Simples,KDD,0.9997550239234443
DDM,LINE,0.9659735349716447
DDM,CIRCLE,0.9671361502347421
DDM,GAUSS,0.8063789868667894
DDM,SINE1,0.8908067542213884
DDM,ELEC,0.8628424799271615
DDM,SPAM,0.888351471180974
DDM,KDD,0.9995942583732045
EDDM,LINE,0.9659735349716447
EDDM,CIRCLE,0.9661971830985918
EDDM,GAUSS,0.866791744840526
EDDM,SINE1,0.8750469043151969
EDDM,ELEC,0.8620975084843955
EDDM,SPAM,0.8722289399435709
EDDM,KDD,0.9997550239234412
ADWIN,LINE,0.9659735349716447
ADWIN,CIRCLE,0.9558685446009392
ADWIN,GAUSS,0.6461538461538456
ADWIN,SINE1,0.6469043151969978
ADWIN,ELEC,0.44648621802830857
ADWIN,SPAM,0.8093510681176938
ADWIN,KDD,0.8423885167464032
Simples,LINE,0.9697478991596638
Simples,CIRCLE,0.9290484140233722
Simples,GAUSS,0.6380920613742486
Simples,SINE1,0.6344229486324202
Simples,ELEC,0.8447502023397842
Simples,SPAM,0.8090290218559661
Simples,KDD,0.9997822433022839
DDM,LINE,0.9697478991596638
DDM,CIRCLE,0.9607679465776291
DDM,GAUSS,0.8172114743162089
DDM,SINE1,0.895263509006004
DDM,ELEC,0.8641012434699465
DDM,SPAM,0.892869939089931
DDM,KDD,0.9996393404694051
EDDM,LINE,0.9697478991596638
EDDM,CIRCLE,0.9649415692821364
EDDM,GAUSS,0.8705803869246179
EDDM,SINE1,0.8792528352234827
EDDM,ELEC,0.862703259509969
EDDM,SPAM,0.8788964528842705
EDDM,KDD,0.9997822433022809
ADWIN,LINE,0.9697478991596638
ADWIN,CIRCLE,0.904841402337229
ADWIN,GAUSS,0.6297531687791856
ADWIN,SINE1,0.6304202801867909
ADWIN,ELEC,0.45154881907144434
ADWIN,SPAM,0.8298101039054095
ADWIN,KDD,0.7487972344899335
Simples,LINE,0.9712556732223905
Simples,CIRCLE,0.9218632607062363
Simples,GAUSS,0.5926148303812656
Simples,SINE1,0.5803062143500429
Simples,ELEC,0.8476259850341048
Simples,SPAM,0.8239277652370203
Simples,KDD,0.999767272370945
DDM,LINE,0.9712556732223905
DDM,CIRCLE,0.9601803155522162
DDM,GAUSS,0.8090663464425072
DDM,SINE1,0.8898228760132094
DDM,ELEC,0.8653731540957593
DDM,SPAM,0.8987423411802631
DDM,KDD,0.9995100470967183
EDDM,LINE,0.9712556732223905
EDDM,CIRCLE,0.9631855747558224
EDDM,GAUSS,0.8715100570399295
EDDM,SINE1,0.8748123686580608
EDDM,ELEC,0.8643136216144631
EDDM,SPAM,0.8864882296033542
EDDM,KDD,0.9996754062015805
ADWIN,LINE,0.9712556732223905
ADWIN,CIRCLE,0.8647633358377165
ADWIN,GAUSS,0.6166316421495041
ADWIN,SINE1,0.6172320624437103
ADWIN,ELEC,0.4529501357525986
ADWIN,SPAM,0.846823605288616
ADWIN,KDD,0.6739179696351654
Simples,LINE,0.972489683631362
Simples,CIRCLE,0.9234972677595629
Simples,GAUSS,0.5638646288209593
Simples,SINE1,0.5387554585152813
Simples,ELEC,0.8396845463849272
Simples,SPAM,0.8317209029610091
Simples,KDD,0.9997884293103316
DDM,LINE,0.972489683631362
DDM,CIRCLE,0.961748633879782
DDM,GAUSS,0.818504366812225
DDM,SINE1,0.8951965065502187
DDM,ELEC,0.8644271868039299
DDM,SPAM,0.9006156552330695
DDM,KDD,0.9995545880217527
EDDM,LINE,0.972489683631362
EDDM,CIRCLE,0.9644808743169392
EDDM,GAUSS,0.8736353711790414
EDDM,SINE1,0.8774563318777294
EDDM,ELEC,0.8634037685870801
EDDM,SPAM,0.8885957197302851
EDDM,KDD,0.9997049145644195
ADWIN,LINE,0.972489683631362
ADWIN,CIRCLE,0.8312841530054644
ADWIN,GAUSS,0.606168122270743
ADWIN,SINE1,0.6067139737991264
ADWIN,ELEC,0.4488591896935757
ADWIN,SPAM,0.8554676048079735
ADWIN,KDD,0.6126753113708101
Simples,LINE,0.9722572509457762
Simples,CIRCLE,0.926111458985598
Simples,GAUSS,0.57142857142857
Simples,SINE1,0.5201401050788073
Simples,ELEC,0.8417857734120641
Simples,SPAM,0.8363343187315243
Simples,KDD,0.9997907490672977
DDM,LINE,0.9722572509457762
DDM,CIRCLE,0.9624295554164065
DDM,GAUSS,0.824118088566423
DDM,SINE1,0.8996747560670506
DDM,ELEC,0.8630870261023155
DDM,SPAM,0.8922332706261765
DDM,KDD,0.9995355650030355
EDDM,LINE,0.9722572509457762
EDDM,CIRCLE,0.9649342517219778
EDDM,GAUSS,0.8744058043532673
EDDM,SINE1,0.8821616212159126
EDDM,ELEC,0.8620937034379987
EDDM,SPAM,0.8908895458210165
EDDM,KDD,0.9995712907720354
ADWIN,LINE,0.9722572509457762
ADWIN,CIRCLE,0.8040075140889164
ADWIN,GAUSS,0.5971978984238182
ADWIN,SINE1,0.5976982737052784
ADWIN,ELEC,0.4422493239887411
ADWIN,SPAM,0.8610588551464653
ADWIN,KDD,0.5616192959982024
Simples,LINE,0.973224679860303
Simples,CIRCLE,0.9260115606936415
Simples,GAUSS,0.5614318706697434
Simples,SINE1,0.5297921478060028
Simples,ELEC,0.8408129998471829
Simples,SPAM,0.8437112379062268
Simples,KDD,0.999806845217055
DDM,LINE,0.973224679860303
DDM,CIRCLE,0.9624277456647413
DDM,GAUSS,0.7854503464203221
DDM,SINE1,0.8912240184757508
DDM,ELEC,0.8621058529876232
DDM,SPAM,0.8943190275365931
DDM,KDD,0.999571290603722
EDDM,LINE,0.973224679860303
EDDM,CIRCLE,0.9647398843930628
EDDM,GAUSS,0.8727482678983867
EDDM,SINE1,0.8780600461893769
EDDM,ELEC,0.8619020936274243
EDDM,SPAM,0.8953113371371876
EDDM,KDD,0.9995336018655908
ADWIN,LINE,0.973224679860303
ADWIN,CIRCLE,0.7803468208092478
ADWIN,GAUSS,0.5898383371824487
ADWIN,SINE1,0.5903002309468824
ADWIN,ELEC,0.44098619530334604
ADWIN,SPAM,0.863309352517984
ADWIN,KDD,0.5184227263090878
Simples,LINE,0.9729729729729734
Simples,CIRCLE,0.9264626945786366
Simples,GAUSS,0.5846021874329811
Simples,SINE1,0.5483594252627034
Simples,ELEC,0.8395061728395083
Simples,SPAM,0.850956000921447
Simples,KDD,0.999571290459457
DDM,LINE,0.9729729729729734
DDM,CIRCLE,0.9608158883521212
DDM,GAUSS,0.7870469654728702
DDM,SINE1,0.8955607977696766
DDM,ELEC,0.8589943711271937
DDM,SPAM,0.8970283344851433
DDM,KDD,0.999566915872308
EDDM,LINE,0.9729729729729734
EDDM,CIRCLE,0.9629629629629622
EDDM,GAUSS,0.8743298305811744
EDDM,SINE1,0.8835513617842591
EDDM,ELEC,0.8590889740315008
EDDM,SPAM,0.8988712278276907
EDDM,KDD,0.9992606947719301
ADWIN,LINE,0.9729729729729734
ADWIN,CIRCLE,0.7606011808910351
ADWIN,GAUSS,0.5835299163628574
ADWIN,SINE1,0.5839588247909073
ADWIN,ELEC,0.44094413698500484
ADWIN,SPAM,0.8689242110112856
ADWIN,KDD,0.48139706815169037
Simples,LINE,0.9727547931382446
Simples,CIRCLE,0.9273547094188378
Simples,GAUSS,0.6040832666132896
Simples,SINE1,0.5694555644515579
Simples,ELEC,0.8379762482892604
Simples,SPAM,0.8555149430230066
Simples,KDD,0.9995998709788061
DDM,LINE,0.9727547931382446
DDM,CIRCLE,0.9624248496993996
DDM,GAUSS,0.7896317053642904
DDM,SINE1,0.897117694155325
DDM,ELEC,0.8600944770650306
DDM,SPAM,0.896796387873577
DDM,KDD,0.9995957880296029
EDDM,LINE,0.9727547931382446
EDDM,CIRCLE,0.9644288577154299
EDDM,GAUSS,0.8726981585268243
EDDM,SINE1,0.8863090472377901
EDDM,ELEC,0.8567833649728475
EDDM,SPAM,0.8991614706514746
EDDM,KDD,0.999273235043136
ADWIN,LINE,0.9727547931382446
ADWIN,CIRCLE,0.7429859719438867
ADWIN,GAUSS,0.5778622898318669
ADWIN,SINE1,0.5782626100880709
ADWIN,ELEC,0.43371153591452916
ADWIN,SPAM,0.8755106428724994
ADWIN,KDD,0.4493040613095637
Simples,LINE,0.9508041627246929
Simples,CIRCLE,0.9145138562705497
Simples,GAUSS,0.596734847063238
Simples,SINE1,0.5398761493713611
Simples,ELEC,0.8332850461487552
Simples,SPAM,0.859705704495063
Simples,KDD,0.9996248789469016
DDM,LINE,0.9631031220435196
DDM,CIRCLE,0.9544387036167223
DDM,GAUSS,0.7858885344342268
DDM,SINE1,0.8943516607243388
DDM,ELEC,0.8583254004387234
DDM,SPAM,0.8980044345898013
DDM,KDD,0.9996210511810508
EDDM,LINE,0.9659413434247875
EDDM,CIRCLE,0.9553781117895714
EDDM,GAUSS,0.8693938825295595
EDDM,SINE1,0.8838431225370612
EDDM,ELEC,0.8553453913331392
EDDM,SPAM,0.9000201572263681
EDDM,KDD,0.9993186576790797
ADWIN,LINE,0.9508041627246929
ADWIN,CIRCLE,0.7280413339596046
ADWIN,GAUSS,0.5729029836742368
ADWIN,SINE1,0.5732782886094948
ADWIN,ELEC,0.43148048507925985
ADWIN,SPAM,0.8788550695424304
ADWIN,KDD,0.42122649273298335
Simples,LINE,0.9296527159394484
Simples,CIRCLE,0.9014146772767464
Simples,GAUSS,0.5997880607559154
Simples,SINE1,0.5155422112327775
Simples,ELEC,0.8272759144560056
Simples,SPAM,0.8662492885600477
Simples,KDD,0.9992758766036033
DDM,LINE,0.963490650044524
DDM,CIRCLE,0.9522546419098148
DDM,GAUSS,0.7926527728717756
DDM,SINE1,0.894736842105264
DDM,ELEC,0.856180125433369
DDM,SPAM,0.9019161449440344
DDM,KDD,0.9994560068017144
EDDM,LINE,0.9661620658949244
EDDM,CIRCLE,0.9540229885057465
EDDM,GAUSS,0.8716001412928325
EDDM,SINE1,0.8823737195337329
EDDM,ELEC,0.8537259943126496
EDDM,SPAM,0.9045721874407155
EDDM,KDD,0.9989912708906095
ADWIN,LINE,0.9243098842386469
ADWIN,CIRCLE,0.7144120247568517
