iteracao,acc_prequencial
334,0.8982035928143715
667,0.8935532233883067
1000,0.899
1333,0.7914478619654917
1666,0.7334933973589434
1999,0.6943471735867922
2332,0.6668096054888497
2665,0.6461538461538456
2998,0.6297531687791856
3331,0.6166316421495041
3664,0.606168122270743
3997,0.5971978984238182
4330,0.5898383371824487
4663,0.5835299163628574
4996,0.5778622898318669
5329,0.5729029836742368
5662,0.5687036382903586
5995,0.5648040033361151
6328,0.5614728192161834
6661,0.5584747034979753
6994,0.5556191020875065
7327,0.5530230653746437
7660,0.550783289817235
7993,0.5486050294007287
8326,0.5467211145808342
8659,0.5449820995496037
8992,0.5432606761565848
9325,0.5416621983914218
9658,0.5402774901635965
9991,0.5388849964968487
