classificador,base,acc
0,5,0.7798249654537079
0,6,0.9997637733273795
1,0,0.9632829373650112
1,1,0.9763948497854082
1,2,0.7920240137221249
1,3,0.891080617495712
1,4,0.8700217576388269
1,5,0.893597420543527
1,6,0.9996762819671567
2,0,0.9632829373650112
2,1,0.9763948497854082
2,2,0.6668096054888497
2,3,0.6676672384219551
2,4,0.44858575347649254
2,5,0.8125287885766925
2,6,0.9578641609141083
0,0,0.9659735349716447
0,1,0.9577464788732396
0,2,0.6112570356472791
0,3,0.6007504690431514
0,4,0.8434732224153636
0,5,0.79161628375655
0,6,0.9997550239234443
1,0,0.9659735349716447
1,1,0.9671361502347421
1,2,0.8063789868667894
1,3,0.8908067542213884
1,4,0.8628424799271615
1,5,0.888351471180974
1,6,0.9995942583732045
2,0,0.9659735349716447
2,1,0.9558685446009392
2,2,0.6461538461538456
2,3,0.6469043151969978
2,4,0.44648621802830857
2,5,0.8093510681176938
2,6,0.8423885167464032
0,0,0.9697478991596638
0,1,0.9290484140233722
0,2,0.6380920613742486
0,3,0.6344229486324202
0,4,0.8447502023397842
0,5,0.8090290218559661
0,6,0.9997822433022839
1,0,0.9697478991596638
1,1,0.9607679465776291
1,2,0.8172114743162089
1,3,0.895263509006004
1,4,0.8641012434699465
1,5,0.892869939089931
1,6,0.9996393404694051
2,0,0.9697478991596638
2,1,0.904841402337229
2,2,0.6297531687791856
2,3,0.6304202801867909
2,4,0.45154881907144434
2,5,0.8298101039054095
2,6,0.7487972344899335
0,0,0.9712556732223905
0,1,0.9218632607062363
0,2,0.5926148303812656
0,3,0.5803062143500429
0,4,0.8476259850341048
0,5,0.8239277652370203
0,6,0.999767272370945
1,0,0.9712556732223905
1,1,0.9601803155522162
1,2,0.8090663464425072
1,3,0.8898228760132094
1,4,0.8653731540957593
1,5,0.8987423411802631
1,6,0.9995100470967183
2,0,0.9712556732223905
2,1,0.8647633358377165
2,2,0.6166316421495041
2,3,0.6172320624437103
2,4,0.4529501357525986
2,5,0.846823605288616
2,6,0.6739179696351654
0,0,0.972489683631362
0,1,0.9234972677595629
0,2,0.5638646288209593
0,3,0.5387554585152813
0,4,0.8396845463849272
0,5,0.8317209029610091
0,6,0.9997884293103316
1,0,0.972489683631362
1,1,0.961748633879782
1,2,0.818504366812225
1,3,0.8951965065502187
1,4,0.8644271868039299
1,5,0.9006156552330695
1,6,0.9995545880217527
2,0,0.972489683631362
2,1,0.8312841530054644
2,2,0.606168122270743
2,3,0.6067139737991264
2,4,0.4488591896935757
2,5,0.8554676048079735
2,6,0.6126753113708101
0,0,0.9722572509457762
0,1,0.926111458985598
0,2,0.57142857142857
0,3,0.5201401050788073
0,4,0.8417857734120641
0,5,0.8363343187315243
0,6,0.9997907490672977
