iteracao,acc_prequencial
311,0.9710610932475882
621,0.9790660225442831
931,0.9505907626208367
1241,0.9057211925866235
1551,0.8942617666021925
1861,0.8823213326168725
2171,0.8760939659143245
2481,0.8722289399435709
2791,0.8788964528842705
3101,0.8864882296033542
3411,0.8885957197302851
3721,0.8908895458210165
4031,0.8953113371371876
4341,0.8988712278276907
4651,0.8991614706514746
4961,0.9000201572263681
5271,0.9045721874407155
5581,0.9048557606163792
5891,0.9034119843829582
6201,0.9006611836800524
6511,0.9023191522039635
6821,0.8992816302594944
7131,0.9015565839293241
7441,0.9039107646821685
7751,0.9069797445490925
8061,0.909812678327753
8371,0.9126747103094027
8681,0.9156779172906369
8991,0.9176954732510305
9301,0.9179658101279451
