iteracao,acc_prequencial
16329,0.999755037050646
32657,0.9998775147747814
48985,0.9998775135245445
65313,0.9998928237869954
81641,0.9677000526696147
97969,0.9527197378762623
114297,0.9578641609141083
130625,0.8423885167464032
146953,0.7487972344899335
163281,0.6739179696351654
179609,0.6126753113708101
195937,0.5616192959982024
212265,0.5184227263090878
228593,0.48139706815169037
244921,0.4493040613095637
261249,0.42122649273298335
277577,0.39706459829163926
293905,0.37500552899745976
310233,0.35527490628011343
326561,0.3375142775775396
342889,0.3214422159940947
359217,0.3068312468507894
375545,0.29349079338028433
391873,0.28126204152875567
408201,0.2725887491701306
424529,0.2712276428700906
440857,0.2982146138090024
457185,0.3232651989894591
473513,0.3442291975088254
489841,0.3655696440273363
