iteracao,acc_prequencial
134,0.9776119402985073
267,0.9700374531835205
400,0.975
533,0.973733583489681
666,0.9759759759759759
799,0.9762202753441808
932,0.9763948497854082
1065,0.9577464788732396
1198,0.9290484140233722
1331,0.9218632607062363
1464,0.9234972677595629
1597,0.926111458985598
1730,0.9260115606936415
1863,0.9264626945786366
1996,0.9273547094188378
2129,0.9145138562705497
2262,0.9014146772767464
2395,0.8906054279749479
2528,0.88488924050633
2661,0.8797444569710638
2794,0.8768790264853263
2927,0.874274000683294
3060,0.8679738562091506
3193,0.8578139680551204
3326,0.8496692723992779
3459,0.8511130384504192
3592,0.8499443207126948
3725,0.8507382550335564
3858,0.8527734577501284
3991,0.8539213229766964
