iteracao,acc_prequencial
134,0.9776119402985073
267,0.9700374531835205
400,0.975
533,0.973733583489681
666,0.9759759759759759
799,0.9762202753441808
932,0.9763948497854082
1065,0.9661971830985918
1198,0.9649415692821364
1331,0.9631855747558224
1464,0.9644808743169392
1597,0.9649342517219778
1730,0.9647398843930628
1863,0.9629629629629622
1996,0.9644288577154299
2129,0.9553781117895714
2262,0.9540229885057465
2395,0.9544885177453019
2528,0.9560917721518981
2661,0.9564073656520103
2794,0.9574087329992845
2927,0.9579774513153408
3060,0.9555555555555563
3193,0.9536486063263401
3326,0.9542994588093818
3459,0.9543220583983815
3592,0.9557349665924277
3725,0.9562416107382549
3858,0.9548989113530333
3991,0.9533951390628923
