iteracao,acc_prequencial
67,0.9552238805970148
133,0.9548872180451128
199,0.9547738693467334
265,0.943396226415094
331,0.9516616314199399
397,0.9571788413098239
463,0.9632829373650112
529,0.9659735349716447
595,0.9697478991596638
661,0.9712556732223905
727,0.972489683631362
793,0.9722572509457762
859,0.973224679860303
925,0.9729729729729734
991,0.9727547931382446
1057,0.9508041627246929
1123,0.9296527159394484
1189,0.9100084104289324
1255,0.8956175298804788
1321,0.8811506434519311
1387,0.8702235039653938
1453,0.8568479008947014
1519,0.8472679394338393
1585,0.8391167192429033
1651,0.836462749848578
1717,0.8351776354106011
1783,0.8401570386988233
1849,0.8447809626825322
1915,0.8480417754569204
1981,0.8520949015648676
