iteracao,acc_prequencial
134,0.9776119402985073
267,0.9700374531835205
400,0.975
533,0.973733583489681
666,0.9759759759759759
799,0.9762202753441808
932,0.9763948497854082
1065,0.9558685446009392
1198,0.904841402337229
1331,0.8647633358377165
1464,0.8312841530054644
1597,0.8040075140889164
1730,0.7803468208092478
1863,0.7606011808910351
1996,0.7429859719438867
2129,0.7280413339596046
2262,0.7144120247568517
2395,0.7027139874739039
2528,0.6918512658227849
2661,0.6824502066892149
2794,0.673586256263422
2927,0.6658694909463617
3060,0.6584967320261442
3193,0.6520513623551524
3326,0.6458208057727007
3459,0.6403584851113041
3592,0.6350222717149221
3725,0.6303355704697992
3858,0.6257128045619502
3991,0.6216487095965929
