iteracao,acc_prequencial
67,0.9552238805970148
133,0.9548872180451128
199,0.9547738693467334
265,0.943396226415094
331,0.9516616314199399
397,0.9571788413098239
463,0.9632829373650112
529,0.9659735349716447
595,0.9697478991596638
661,0.9712556732223905
727,0.972489683631362
793,0.9722572509457762
859,0.973224679860303
925,0.9729729729729734
991,0.9727547931382446
1057,0.9508041627246929
1123,0.9243098842386469
1189,0.9007569386038692
1255,0.8796812749003988
1321,0.860711582134747
1387,0.8435472242249462
1453,0.8279421885753616
1519,0.8136932192231734
1585,0.8006309148264983
1651,0.7886129618413084
1717,0.7775189283634245
1783,0.7672462142456534
1849,0.7577068685776093
1915,0.748825065274151
1981,0.7405350832912665
